原文	译文
是否花费{0}重置当前夺宝奇兵进度？	Sure to reset current Treasure Hunter progress with {0}?
你确定要花费{0}钻石购买新人礼包吗？	Confirm to invest {0} Diamonds?
你确定要花费{0}钻石领取今天的奖励吗？	Confirm to purchase discount Giftpack with {0} Diamonds?
本次{0}总共消耗{1}	{0} totally consumes {1}
和	 and 
{0}（用于购买{1}）	{0} (Cost for {1})
精炼	Polish
刻印	Imprint
升级战船	Upgrade Ship
解封	Activate
强化宝物	Token Enhancing
确定使用{0}贝利找回一半的日常任务奖励吗？	Confirm to retrieve half of Daily Task Rewards with {0} Beli?
确定使用{0}钻石找回全部的日常任务奖励吗？	Confirm to retrieve all of Daily Task Rewards with {0} Diamonds?
确定使用{0}贝利找回一半的悬赏任务奖励吗？	Confirm to retrieve half of Bounty Task Rewards with {0} Beli?
确定使用{0}钻石找回全部的悬赏任务奖励吗？	Confirm to retrieve all of Bounty Task Rewards with {0} Diamonds?
确定使用{0}钻石找回所有的每日必做奖励吗？	Confirm to retrieve all of Daily Must Rewards with {0} Diamonds?
确定购买月票{0}钻石吗？	Confirm to buy Monthly Pass with {0} Diamonds?
确定花费{0}钻石购买这个礼包吗	Confirm to buy this Giftpack with {0} Diamonds?
确定花费{0}钻石再打开一个箱子吗	Confirm to open a chest with {0} Diamonds? 
确定花费{0}点卷打开或刷新龙宫宝库吗?	Confirm to open or refresh the Treasure House with {0} coupons? 
确定花费{0}购买{1}吗?	Confirm to spend {0} to buy {1}?
你确定出价{0}钻石来竞拍这件商品吗?	Confirm to spend {0} Diamonds to bid for {1}?
确定使用{0}节日积分来交换{1}*{2}？	Confirm to exchange {1}*{2} with {0} points？
确定花费{0}钻石来进行一次游戏吗？	Confirm to play once more with {0} Diamonds?
确定使用{0}复活{1}？	Confirm to revive {0} immediately with {1}?
确定使用{0}转职为{0}？	Confirm to change class to {0} with {1}?
确定使用{0}*{1}精魄为{0}？	Confirm to exchange {0} spirit with {0}*{1}?
继承后，{0}所有的属性将会被删除并回归初始状态，继承不可逆。确定要继承到{1}吗？	After inheriting, all Attribute Bonus of the {0} will be deleted and start from scratch. The Inherit function cannot be reverted, sure to inherit with {1}?
确定使用{0}激活[黄金钟]吗？	Confirm to active the "Shandorian Golden Belfry" with {0}?
确定使用{1}兑换{0}吗？	Confirm to exchange {0} with {1} shell point?
作为升级材料的贝壳中包含高品质贝壳，请确认是否继续升级	Dials for upgrading include high quality dials, confirm to upgrade?
该贝壳是稀有贝壳，是否确认卖出？	Dials for selling include high quality dials, confirm to sell?
你确定花费{0}钻石进行补签吗？	Confirm to spend {0} Diamonds for Late Sign-in?
你确定花费{0}钻石购买{1}糖果吗？	Confirm to buy {1} Lollipops with {0} Diamonds?
你确定花费{0}钻石购买大星星吗？	Confirm to buy Large Stars with {0} Diamonds?
你确定花费{0}钻石购买{1}吗？	Confirm to buy {1} with {0} Diamonds?
你确定使用{0}钻石刷新商店吗？	Confirm to refresh with {0} Diamonds?
你确定使用{0}钻石重置{1}个人修行吗？	Confirm to reset {0}'s Study with {1}?
你确定花费{0}购买该礼包吗？	Confirm to buy this Giftpack with {0}?
你确定花费{0}购买VIP优惠礼包？	Confirm to buy Vip Gift with {0}?
你确定花费{0}来打开一次箱子吗	Confirm to open this Chest with {0}?
你确定花费{0}钻石购买大乱斗入场卷吗？	Confirm to buy Super Smash ticket with {0} Diamonds?
你确定花费{0}钻石来换一批船员？	Confirm to change a batch of crews with {0} Diamonds?
你确定花费{0}来扩充4个贝壳仓库格子?	Confirm to expand 4 space grids in your Dials bag with {0}?
你确定花费{1}来重置{0}的星级？你可以获得{2}个瓦尔波合金	Confirm to reset {0}'s star to 1 with {1}? You can get back {2} Wapometal.
即将吞噬高品质船件，确定要这样做吗？	High quality Ship Part to feed, are you sure?
你确定花费{0}钻石购买1次挑战次数？	Confirm to buy 1 ladder count with {0}?
确定花费{0}购买1次海上霸主挑战次数？	Confirm to buy 1 overlord count with {0}?
确定花费{0}购买1次极限挑战挑战次数？	Confirm to buy 1 Ultimate Challenge chance with {0}?
你确定打劫玩家{0}吗?	Are you sure to plunder {0}? 
你确定花费{0}点卷升级船只吗	Confirm to upgrade Ships with {0} Coupons? 
你确定花费{0}点卷升级船只到满级吗	Confirm to upgrade Ships to max level with {0} Coupons?
本次护送将花费{0}点卷使用保护功能,确定出发吗?	Confirm to activate protect function with {0} Coupons in this escort? 
您当前VIP等级高于VIP试用卡等级，直接使用将获得{0}点券，是否确认使用？	Your current VIP is higher than VIP Experience Card. Use it directly can get {0}coupons, confirm to use it?  
使用VIP试用卡之后您将获得长达{0}小时的，VIP{1}特权体验，是否确认使用？	You will enjoy {0} hours’ VIP{1} privilege after using  VIP  Experience Card, confirm to use it?   
您当前处于VIPX级试用期间，无法替换为更低等级的VIP试用权限。	You are during VIPX Trial period, cannot change to a lower one.
您当前处于VIPX级试用期间，确定要再使用一个延长试用时间？	You are during VIPX Trial period, confirm to use one more to prolong the trial time?
您当前处于VIPX级试用期间，确定要替换成VIPY级并放弃剩余试用时间？	You are during VIPX Trial period, confirm to change to VIPY and give up the remaining trial time?
你确定购买{0}份基金，消耗{1}钻石和{2}份认购次数吗	Are you sure to spend {1} diamonds to purchase {0} Funds and use {2} subscription chances?
确定花费{0}购买这个礼包吗	Confirm to buy this Giftpack with {0}?
未点亮全部奖励前，领了某一档奖励后其他三档奖励将无法领取，确定要这样做吗？	Before lighting up all rewards, the other 3 tiers' rewards cannot be claimed after 1 tier is claimed，confirm to claim？
确定花费{0}钻石购买等级投资？	Confirm to buy Invest Level with {0} Diamonds?
确定花费{0}钻石购买时间投资？	Confirm to buy Invest Day with {0} Diamonds?
确定使用{1}船件积分兑换{0}吗？	Confirm to exchange {0} with {1} ship part point?
当前有高品质的船件作为祭品，是否继续？	You are going to sacrifice ship parts of high quality. Confirm to continue?
当前有高品质的船件参与分解，是否继续？	You are going to dismantle ship parts of high quality. Confirm to continue?
你分解的装备中包含完美品质的装备,你确定要分解吗?	The gear you dismantle contains perfect quality pieces. Confirm to dismantle?
[主线]	[Main]
[支线]	[Side]
[日常]	[Daily]
(可接取)	(Available)
(需要主角{0}级)	(Req. Lv {0})
(可提交)	(Complete)
(进行中)	(Ongoing)
第{0}环	Task {0}
({0}星)	({0} Star)
击败#{0}#{1}次	Defeat #{0}#{1} times
快速获取贝利	Fast way to gain Beli
1.精炼装备失败会产生祝福值，提高下次精炼的成功率。\n2.祝福值越高，精炼成功率越高，当祝福值达到满值时，精炼将100%成功。\n3.精炼成功后，祝福值将被清空。	1.Polish failure brings you luck to increase your success rate.\n2.The more luck, the higher the success rate for polish. Full luck grants 100% success rate.\n3.Polish success will clear your luck.
1.刻印失败会产生祝福值，提高下次刻印的成功率。\n2.祝福值越高，刻印成功率越高，当祝福值达到满值时，刻印将100%成功。\n3.刻印成功后，祝福值将被清空。	1.Imprint failure brings you luck to increase your success rate.\n2.The more luck, the higher success rate for imprint. Full luck grants 100% success rate.\n3.Imprint success will clear your luck.
1.重铸效果享受刻印等级的加成；\n2.如刻印3级的速度为100，重铸效果为20%，则该装备重铸的速度加成为120点。	1.Refinement bonus is based on Imprint bonus;\n2.For example, 100 Imprint speed bonus and 20% Refinement bonus rate makes 20 Refinement speed bonus.
温馨提示：\n酒馆中可以抽到部分限定船员，具体可通过放大镜查看；\n抽到已拥有的船员时，将转化为一定数量的碎片。	Note:\nSome specified crew members can be drawn at Tavern.\nClick [Magnifier] for details.\nWhen players draw a recruited crew member here, this member will be transformed to certain amount of fragments.
三星过关之后开启扫荡	Wipe-out can be activated upon 3-star achievement
1.每次扫荡消耗5点行动力；\n2.扫荡过程中离线不会终止中断扫荡；\n3.背包满时，战利品将通过邮件发送。	1.Each wipe-out consumes 5 vitality;\n2.Wipe-out won't stop when you get off-line;\n3.Loots will be sent by mail when your bag is full.
温馨提示：\n有附件的邮件会长时间保存，没有附件的邮件只保留一周	Note:\nMail with attachment will be kept permanently.\nMail without attachment will be kept for one week.
温馨提示：\n包含附件的邮件永久保存。\n不含附件的邮件保存一周。	Note:\nMail with attachment will be kept permanently.\nMail without attachment will be kept for one week.
奖励说明：\n每天20：00发放竞技场排名奖励，可以获得大量的贝利和知名度。\n\n第1名奖励:2000000贝利,600知名度\n第2名奖励:1700000贝利,550知名度\n第3名奖励:1400000贝利,500知名度\n第4名奖励:1200000贝利,460知名度\n第5名奖励:1000000贝利,420知名度\n第6名奖励:900000贝利,400知名度\n第7名奖励:800000贝利,380知名度\n第8名奖励:700000贝利,360知名度\n第9名奖励:600000贝利,340知名度\n第10名奖励:500000贝利,320知名度\n第11~20名奖励:450000贝利,300知名度\n第21~30名奖励:350000贝利,280知名度\n第31~40名奖励:300000贝利,260知名度\n第41~50名奖励:250000贝利,240知名度\n第51~70名奖励:230000贝利,220知名度\n第71~100名奖励:150000贝利,200知名度\n第101~300名奖励:130000贝利,175知名度\n第301~500名奖励:110000贝利,150知名度\n第501~700名奖励:90000贝利,125知名度\n第701~1000名奖励:70000贝利,100知名度\n第1001~2000名奖励:50000贝利,75知名度\n第2001~5000名奖励:30000贝利,50知名度	Reward Intro: \nEveryday at 8PM, the system will give out Arena Reward which includes abundant Beli and Fame.\n\n1st Place Reward: 3000000 Beli, 900 Fame\n2nd Place Reward: 2550000 Beli, 825 Fame\n3rd Place Reward: 2100000 Beli, 750 Fame\n4th Place Reward: 1800000 Beli, 690 Fame\n5th Place Reward: 1500000 Beli, 630 Fame\n6th Place Reward: 1350000 Beli, 600 Fame\n7th Place Reward: 1200000 Beli, 570 Fame\n8th Place Reward: 1050000 Beli, 540 Fame\n9th Place Reward: 900000 Beli, 510 Fame\n10th Place Reward: 750000 Beli, 480 Fame\n11-20th Reward: 675000 Beli, 450 Fame\n 21-30th Reward: 525000 Beli, 420 Fame\n31-40th Reward: 450000 Beli, 390 Fame\n41-50th Reward: 375000 Beli, 360 Fame\n51-70th Reward: 345000 Beli, 330 Fame\n71-100th Reward: 225000 Beli, 300 Fame\n101-300th Reward: 195000 Beli, 262 Fame\n301-500th Reward: 165000 Beli, 225 Fame\n501-700th Reward: 135000 Beli, 187 Fame\n701-1000th Reward: 105000 Beli, 150 Fame\n1001-2000th Reward: 75000 Beli, 112 Fame\n2001-5000th Reward: 45000 Beli, 75 Fame
